date,covidCases,BTCUSD
2018-03-03,,11489.7001953
2018-03-04,,11512.5996094
2018-03-05,,11573.2998047
2018-03-06,,10779.9003906
2018-03-07,,9965.5703125
2018-03-08,,9395.0097656
2018-03-09,,9337.5498047
2018-03-10,,8866.0
2018-03-11,,9578.6298828
2018-03-12,,9205.1201172
2018-03-13,,9194.8496094
2018-03-14,,8269.8095703
2018-03-15,,8300.8603516
2018-03-16,,8338.3496094
2018-03-17,,7916.8798828
2018-03-18,,8223.6796875
2018-03-19,,8630.6503906
2018-03-20,,8913.4697266
2018-03-21,,8929.2802734
2018-03-22,,8728.4697266
2018-03-23,,8879.6201172
2018-03-24,,8668.1201172
2018-03-25,,8495.7802734
2018-03-26,,8209.4003906
2018-03-27,,7833.0400391
2018-03-28,,7954.4799805
2018-03-29,,7165.7001953
2018-03-30,,6890.5200195
2018-03-31,,6973.5297852
2018-04-01,,6844.2299805
2018-04-02,,7083.7998047
2018-04-03,,7456.1098633
2018-04-04,,6853.8398438
2018-04-05,,6811.4702148
2018-04-06,,6636.3198242
2018-04-07,,6911.0898438
2018-04-08,,7023.5200195
2018-04-09,,6770.7299805
2018-04-10,,6834.7597656
2018-04-11,,6968.3198242
2018-04-12,,7889.25
2018-04-13,,7895.9599609
2018-04-14,,7986.2402344
2018-04-15,,8329.1103516
2018-04-16,,8058.6699219
2018-04-17,,7902.0898438
2018-04-18,,8163.4199219
2018-04-19,,8294.3095703
2018-04-20,,8845.8300781
2018-04-21,,8895.5800781
2018-04-22,,8802.4599609
2018-04-23,,8930.8798828
2018-04-24,,9697.5
2018-04-25,,8845.7402344
2018-04-26,,9281.5097656
2018-04-27,,8987.0498047
2018-04-28,,9348.4804688
2018-04-29,,9419.0800781
2018-04-30,,9240.5498047
2018-05-01,,9119.0097656
2018-05-02,,9235.9199219
2018-05-03,,9743.8603516
2018-05-04,,9700.7597656
2018-05-05,,9858.1503906
2018-05-06,,9654.7998047
2018-05-07,,9373.0097656
2018-05-08,,9234.8203125
2018-05-09,,9325.1796875
2018-05-10,,9043.9404297
2018-05-11,,8441.4902344
2018-05-12,,8504.8896484
2018-05-13,,8723.9404297
2018-05-14,,8716.7900391
2018-05-15,,8510.3798828
2018-05-16,,8368.8300781
2018-05-17,,8094.3198242
2018-05-18,,8250.9697266
2018-05-19,,8247.1796875
2018-05-20,,8513.25
2018-05-21,,8418.9902344
2018-05-22,,8041.7797852
2018-05-23,,7557.8198242
2018-05-24,,7587.3398438
2018-05-25,,7480.1401367
2018-05-26,,7355.8798828
2018-05-27,,7368.2202148
2018-05-28,,7135.9902344
2018-05-29,,7472.5898438
2018-05-30,,7406.5200195
2018-05-31,,7494.1699219
2018-06-01,,7541.4501953
2018-06-02,,7643.4501953
2018-06-03,,7720.25
2018-06-04,,7514.4702148
2018-06-05,,7633.7597656
2018-06-06,,7653.9799805
2018-06-07,,7678.2402344
2018-06-08,,7624.9199219
2018-06-09,,7531.9799805
2018-06-10,,6786.0200195
2018-06-11,,6906.9199219
2018-06-12,,6582.3598633
2018-06-13,,6349.8999023
2018-06-14,,6675.3500977
2018-06-15,,6456.5800781
2018-06-16,,6550.1601562
2018-06-17,,6499.2700195
2018-06-18,,6734.8198242
2018-06-19,,6769.9399414
2018-06-20,,6776.5498047
2018-06-21,,6729.7402344
2018-06-22,,6083.6899414
2018-06-23,,6162.4799805
2018-06-24,,6173.2299805
2018-06-25,,6249.1801758
2018-06-26,,6093.6699219
2018-06-27,,6157.1298828
2018-06-28,,5903.4399414
2018-06-29,,6218.2998047
2018-06-30,,6404.0
2018-07-01,,6385.8198242
2018-07-02,,6614.1801758
2018-07-03,,6529.5898438
2018-07-04,,6597.5498047
2018-07-05,,6639.1401367
2018-07-06,,6673.5
2018-07-07,,6856.9301758
2018-07-08,,6773.8798828
2018-07-09,,6741.75
2018-07-10,,6329.9501953
2018-07-11,,6394.7099609
2018-07-12,,6228.8100586
2018-07-13,,6238.0498047
2018-07-14,,6276.1201172
2018-07-15,,6359.6401367
2018-07-16,,6741.75
2018-07-17,,7321.0400391
2018-07-18,,7370.7797852
2018-07-19,,7466.8598633
2018-07-20,,7354.1298828
2018-07-21,,7419.2900391
2018-07-22,,7418.4902344
2018-07-23,,7711.1098633
2018-07-24,,8424.2695312
2018-07-25,,8181.3901367
2018-07-26,,7951.5800781
2018-07-27,,8165.0097656
2018-07-28,,8192.1503906
2018-07-29,,8218.4599609
2018-07-30,,8180.4799805
2018-07-31,,7780.4399414
2018-08-01,,7624.9101562
2018-08-02,,7567.1499023
2018-08-03,,7434.3901367
2018-08-04,,7032.8500977
2018-08-05,,7068.4799805
2018-08-06,,6951.7998047
2018-08-07,,6753.1201172
2018-08-08,,6305.7998047
2018-08-09,,6568.2299805
2018-08-10,,6184.7099609
2018-08-11,,6295.7299805
2018-08-12,,6322.6899414
2018-08-13,,6297.5698242
2018-08-14,,6199.7099609
2018-08-15,,6308.5200195
2018-08-16,,6334.7299805
2018-08-17,,6580.6298828
2018-08-18,,6423.7597656
2018-08-19,,6506.0698242
2018-08-20,,6308.5297852
2018-08-21,,6488.7597656
2018-08-22,,6376.7099609
2018-08-23,,6534.8798828
2018-08-24,,6719.9599609
2018-08-25,,6763.1899414
2018-08-26,,6707.2597656
2018-08-27,,6884.6401367
2018-08-28,,7096.2797852
2018-08-29,,7047.1601562
2018-08-30,,6978.2299805
2018-08-31,,7037.5800781
2018-09-01,,7193.25
2018-09-02,,7272.7202148
2018-09-03,,7260.0600586
2018-09-04,,7361.6601562
2018-09-05,,6792.8300781
2018-09-06,,6529.1699219
2018-09-07,,6467.0698242
2018-09-08,,6225.9799805
2018-09-09,,6300.8598633
2018-09-10,,6329.7001953
2018-09-11,,6321.2001953
2018-09-12,,6351.7998047
2018-09-13,,6517.3100586
2018-09-14,,6512.7099609
2018-09-15,,6543.2001953
2018-09-16,,6517.1801758
2018-09-17,,6281.2001953
2018-09-18,,6371.2998047
2018-09-19,,6398.5400391
2018-09-20,,6519.6699219
2018-09-21,,6734.9501953
2018-09-22,,6721.9799805
2018-09-23,,6710.6298828
2018-09-24,,6595.4101562
2018-09-25,,6446.4702148
2018-09-26,,6495.0
2018-09-27,,6676.75
2018-09-28,,6644.1298828
2018-09-29,,6601.9599609
2018-09-30,,6625.5600586
2018-10-01,,6589.6201172
2018-10-02,,6556.1000977
2018-10-03,,6502.5898438
2018-10-04,,6576.6899414
2018-10-05,,6622.4799805
2018-10-06,,6588.3100586
2018-10-07,,6602.9501953
2018-10-08,,6652.2299805
2018-10-09,,6642.6401367
2018-10-10,,6585.5297852
2018-10-11,,6256.2402344
2018-10-12,,6274.5800781
2018-10-13,,6285.9902344
2018-10-14,,6290.9301758
2018-10-15,,6596.5400391
2018-10-16,,6596.1098633
2018-10-17,,6544.4301758
2018-10-18,,6476.7099609
2018-10-19,,6465.4101562
2018-10-20,,6489.1899414
2018-10-21,,6482.3500977
2018-10-22,,6487.1601562
2018-10-23,,6475.7402344
2018-10-24,,6495.8398438
2018-10-25,,6476.2900391
2018-10-26,,6474.75
2018-10-27,,6480.3798828
2018-10-28,,6486.3901367
2018-10-29,,6332.6298828
2018-10-30,,6334.2700195
2018-10-31,,6317.6098633
2018-11-01,,6377.7797852
2018-11-02,,6388.4399414
2018-11-03,,6361.2597656
2018-11-04,,6376.1298828
2018-11-05,,6419.6601562
2018-11-06,,6461.0097656
2018-11-07,,6530.1401367
2018-11-08,,6453.7202148
2018-11-09,,6385.6201172
2018-11-10,,6409.2202148
2018-11-11,,6411.2700195
2018-11-12,,6371.2700195
2018-11-13,,6359.4902344
2018-11-14,,5738.3500977
2018-11-15,,5648.0297852
2018-11-16,,5575.5498047
2018-11-17,,5554.3300781
2018-11-18,,5623.5400391
2018-11-19,,4871.4902344
2018-11-20,,4451.8701172
2018-11-21,,4602.1699219
2018-11-22,,4365.9399414
2018-11-23,,4347.1098633
2018-11-24,,3880.7600098
2018-11-25,,4009.9699707
2018-11-26,,3779.1298828
2018-11-27,,3820.7199707
2018-11-28,,4257.4199219
2018-11-29,,4278.8466797
2018-11-30,,4017.2685547
2018-12-01,,4214.671875
2018-12-02,,4139.8779297
2018-12-03,,3894.1308594
2018-12-04,,3956.8937988
2018-12-05,,3753.994873
2018-12-06,,3521.1018066
2018-12-07,,3419.9372559
2018-12-08,,3476.1147461
2018-12-09,,3614.234375
2018-12-10,,3502.6560059
2018-12-11,,3424.5881348
2018-12-12,,3486.9501953
2018-12-13,,3313.6772461
2018-12-14,,3242.4848633
2018-12-15,,3236.7617188
2018-12-16,,3252.8391113
2018-12-17,,3545.8647461
2018-12-18,,3696.059082
2018-12-19,,3745.9506836
2018-12-20,,4134.4414062
2018-12-21,,3896.5437012
2018-12-22,,4014.1826172
2018-12-23,,3998.9802246
2018-12-24,,4078.5991211
2018-12-25,,3815.4907227
2018-12-26,,3857.2976074
2018-12-27,,3654.8334961
2018-12-28,,3923.9187012
2018-12-29,,3820.4086914
2018-12-30,,3865.9526367
2018-12-31,,3742.7004395
2019-01-01,,3843.5200195
2019-01-02,,3943.4094238
2019-01-03,,3836.7412109
2019-01-04,,3857.7175293
2019-01-05,,3845.1945801
2019-01-06,,4076.6325684
2019-01-07,,4025.248291
2019-01-08,,4030.8479004
2019-01-09,,4035.2963867
2019-01-10,,3678.9245605
2019-01-11,,3687.3654785
2019-01-12,,3661.3010254
2019-01-13,,3552.953125
2019-01-14,,3706.0522461
2019-01-15,,3630.675293
2019-01-16,,3655.0068359
2019-01-17,,3678.5639648
2019-01-18,,3657.8393555
2019-01-19,,3728.5683594
2019-01-20,,3601.0136719
2019-01-21,,3576.0324707
2019-01-22,,3604.5771484
2019-01-23,,3585.1230469
2019-01-24,,3600.8654785
2019-01-25,,3599.7658691
2019-01-26,,3602.4604492
2019-01-27,,3583.9658203
2019-01-28,,3470.4504395
2019-01-29,,3448.1169434
2019-01-30,,3486.1816406
2019-01-31,,3457.7927246
2019-02-01,,3487.9453125
2019-02-02,,3521.060791
2019-02-03,,3464.0134277
2019-02-04,,3459.1540527
2019-02-05,,3466.3574219
2019-02-06,,3413.7678223
2019-02-07,,3399.4716797
2019-02-08,,3666.7802734
2019-02-09,,3671.2036133
2019-02-10,,3690.1882324
2019-02-11,,3648.4306641
2019-02-12,,3653.5285645
2019-02-13,,3632.0705566
2019-02-14,,3616.8808594
2019-02-15,,3620.810791
2019-02-16,,3629.7875977
2019-02-17,,3673.8361816
2019-02-18,,3915.7143555
2019-02-19,,3947.0944824
2019-02-20,,3999.8205566
2019-02-21,,3954.1181641
2019-02-22,,4005.5266113
2019-02-23,,4142.5268555
2019-02-24,,3810.4274902
2019-02-25,,3882.6962891
2019-02-26,,3854.3579102
2019-02-27,,3851.0473633
2019-02-28,,3854.7854004
2019-03-01,,3859.5837402
2019-03-02,,3864.4150391
2019-03-03,,3847.1757812
2019-03-04,,3761.5571289
2019-03-05,,3896.375
2019-03-06,,3903.942627
2019-03-07,,3911.484375
2019-03-08,,3901.1315918
2019-03-09,,3963.3137207
2019-03-10,,3951.5998535
2019-03-11,,3905.2272949
2019-03-12,,3909.15625
2019-03-13,,3906.7172852
2019-03-14,,3924.3691406
2019-03-15,,3960.9111328
2019-03-16,,4048.7258301
2019-03-17,,4025.2290039
2019-03-18,,4032.5073242
2019-03-19,,4071.1901855
2019-03-20,,4087.4763184
2019-03-21,,4029.3269043
2019-03-22,,4023.9682617
2019-03-23,,4035.826416
2019-03-24,,4022.1682129
2019-03-25,,3963.0705566
2019-03-26,,3985.0808105
2019-03-27,,4087.0661621
2019-03-28,,4069.1071777
2019-03-29,,4098.3745117
2019-03-30,,4106.6601562
2019-03-31,,4105.4042969
2019-04-01,,4158.1831055
2019-04-02,,4879.8779297
2019-04-03,,4973.0219727
2019-04-04,,4922.7988281
2019-04-05,,5036.6811523
2019-04-06,,5059.8173828
2019-04-07,,5198.8969727
2019-04-08,,5289.7709961
2019-04-09,,5204.9584961
2019-04-10,,5324.5517578
2019-04-11,,5064.487793
2019-04-12,,5089.5390625
2019-04-13,,5096.5864258
2019-04-14,,5167.722168
2019-04-15,,5067.1083984
2019-04-16,,5235.5595703
2019-04-17,,5251.9379883
2019-04-18,,5298.3857422
2019-04-19,,5303.8125
2019-04-20,,5337.8862305
2019-04-21,,5314.53125
2019-04-22,,5399.3652344
2019-04-23,,5572.3623047
2019-04-24,,5464.8666992
2019-04-25,,5210.515625
2019-04-26,,5279.3481445
2019-04-27,,5268.2910156
2019-04-28,,5285.1391602
2019-04-29,,5247.3525391
2019-04-30,,5350.7265625
2019-05-01,,5402.6972656
2019-05-02,,5505.2836914
2019-05-03,,5768.2895508
2019-05-04,,5831.1674805
2019-05-05,,5795.7084961
2019-05-06,,5746.8071289
2019-05-07,,5829.5014648
2019-05-08,,5982.4575195
2019-05-09,,6174.5288086
2019-05-10,,6378.8491211
2019-05-11,,7204.7714844
2019-05-12,,6972.371582
2019-05-13,,7814.9150391
2019-05-14,,7994.4160156
2019-05-15,,8205.1679688
2019-05-16,,7884.9091797
2019-05-17,,7343.8955078
2019-05-18,,7271.2080078
2019-05-19,,8197.6894531
2019-05-20,,7978.309082
2019-05-21,,7963.3276367
2019-05-22,,7680.0664062
2019-05-23,,7881.8466797
2019-05-24,,7987.371582
2019-05-25,,8052.5439453
2019-05-26,,8673.2158203
2019-05-27,,8805.7783203
2019-05-28,,8719.9619141
2019-05-29,,8659.4873047
2019-05-30,,8319.4726562
2019-05-31,,8574.5019531
2019-06-01,,8564.0166016
2019-06-02,,8742.9580078
2019-06-03,,8208.9951172
2019-06-04,,7707.7709961
2019-06-05,,7824.2314453
2019-06-06,,7822.0234375
2019-06-07,,8043.9511719
2019-06-08,,7954.1279297
